"","UID","lat","lon","FIPS"
"1",84088888,NA,NA,88888
"2",84099999,NA,NA,99999
"3",84000001,32.3182,-86.9023,1
"4",84000002,61.3707,-152.4044,2
"5",84000004,33.7298,-111.4312,4
"6",84000005,34.9697,-92.3731,5
"7",84000006,36.1162,-119.6816,6
"8",84000008,39.0598,-105.3111,8
"9",84000009,41.5978,-72.7554,9
"10",84000010,39.3185,-75.5071,10
"11",84000011,38.8974,-77.0268,11
"12",84000012,27.7663,-81.6868,12
"13",84000013,33.0406,-83.6431,13
"14",84000015,21.0943,-157.4983,15
"15",84000016,44.2405,-114.4788,16
"16",84000017,40.3495,-88.9861,17
"17",84000018,39.8494,-86.2583,18
"18",84000019,42.0115,-93.2105,19
"19",84000020,38.5266,-96.7265,20
"20",84000021,37.6681,-84.6701,21
"21",84000022,31.1695,-91.8678,22
"22",84000023,44.6939,-69.3819,23
"23",84000024,39.0639,-76.8021,24
"24",84000025,42.2302,-71.5301,25
"25",84000026,43.3266,-84.5361,26
"26",84000027,45.6945,-93.9002,27
"27",84000028,32.7416,-89.6787,28
"28",84000029,38.4561,-92.2884,29
"29",84000030,46.9219,-110.4544,30
"30",84000031,41.1254,-98.2681,31
"31",84000032,38.3135,-117.0554,32
"32",84000033,43.4525,-71.5639,33
"33",84000034,40.2989,-74.521,34
"34",84000035,34.8405,-106.2485,35
"35",84000036,42.1657,-74.9481,36
"36",84000037,35.6301,-79.8064,37
"37",84000038,47.5289,-99.784,38
"38",84000039,40.3888,-82.7649,39
"39",84000040,35.5653,-96.9289,40
"40",84000041,44.572,-122.0709,41
"41",84000042,40.5908,-77.2098,42
"42",84000044,41.6809,-71.5118,44
"43",84000045,33.8569,-80.945,45
"44",84000046,44.2998,-99.4388,46
"45",84000047,35.7478,-86.6923,47
"46",84000048,31.0545,-97.5635,48
"47",84000049,40.15,-111.8624,49
"48",84000050,44.0459,-72.7107,50
"49",84000051,37.7693,-78.17,51
"50",84000053,47.4009,-121.4905,53
"51",84000054,38.4912,-80.9545,54
"52",84000055,44.2685,-89.6165,55
"53",84000056,42.756,-107.3025,56
"54",84080001,NA,NA,80001
"55",84080002,NA,NA,80002
"56",84080004,NA,NA,80004
"57",84080005,NA,NA,80005
"58",84080006,NA,NA,80006
"59",84080008,NA,NA,80008
"60",84080009,NA,NA,80009
"61",84080010,NA,NA,80010
"62",84080011,NA,NA,80011
"63",84080012,NA,NA,80012
"64",84080013,NA,NA,80013
"65",84080015,NA,NA,80015
"66",84080016,NA,NA,80016
"67",84080017,NA,NA,80017
"68",84080018,NA,NA,80018
"69",84080019,NA,NA,80019
"70",84080020,NA,NA,80020
"71",84080021,NA,NA,80021
"72",84080022,NA,NA,80022
"73",84080023,NA,NA,80023
"74",84080024,NA,NA,80024
"75",84080025,NA,NA,80025
"76",84080026,NA,NA,80026
"77",84080027,NA,NA,80027
"78",84080028,NA,NA,80028
"79",84080029,NA,NA,80029
"80",84080030,NA,NA,80030
"81",84080031,NA,NA,80031
"82",84080032,NA,NA,80032
"83",84080033,NA,NA,80033
"84",84080034,NA,NA,80034
"85",84080035,NA,NA,80035
"86",84080036,NA,NA,80036
"87",84080037,NA,NA,80037
"88",84080038,NA,NA,80038
"89",84080039,NA,NA,80039
"90",84080040,NA,NA,80040
"91",84080041,NA,NA,80041
"92",84080042,NA,NA,80042
"93",84080044,NA,NA,80044
"94",84080045,NA,NA,80045
"95",84080046,NA,NA,80046
"96",84080047,NA,NA,80047
"97",84080048,NA,NA,80048
"98",84080049,NA,NA,80049
"99",84080050,NA,NA,80050
"100",84080051,NA,NA,80051
"101",84080053,NA,NA,80053
"102",84080054,NA,NA,80054
"103",84080055,NA,NA,80055
"104",84080056,NA,NA,80056
"105",84090001,NA,NA,90001
"106",84090002,NA,NA,90002
"107",84090004,NA,NA,90004
"108",84090005,NA,NA,90005
"109",84090006,NA,NA,90006
"110",84090008,NA,NA,90008
"111",84090009,NA,NA,90009
"112",84090010,NA,NA,90010
"113",84090011,NA,NA,90011
"114",84090012,NA,NA,90012
"115",84090013,NA,NA,90013
"116",84090015,NA,NA,90015
"117",84090016,NA,NA,90016
"118",84090017,NA,NA,90017
"119",84090018,NA,NA,90018
"120",84090019,NA,NA,90019
"121",84090020,NA,NA,90020
"122",84090021,NA,NA,90021
"123",84090022,NA,NA,90022
"124",84090023,NA,NA,90023
"125",84090024,NA,NA,90024
"126",84090025,NA,NA,90025
"127",84090026,NA,NA,90026
"128",84090027,NA,NA,90027
"129",84090028,NA,NA,90028
"130",84090029,NA,NA,90029
"131",84090030,NA,NA,90030
"132",84090031,NA,NA,90031
"133",84090032,NA,NA,90032
"134",84090033,NA,NA,90033
"135",84090034,NA,NA,90034
"136",84090035,NA,NA,90035
"137",84090036,NA,NA,90036
"138",84090037,NA,NA,90037
"139",84090038,NA,NA,90038
"140",84090039,NA,NA,90039
"141",84090040,NA,NA,90040
"142",84090041,NA,NA,90041
"143",84090042,NA,NA,90042
"144",84090044,NA,NA,90044
"145",84090045,NA,NA,90045
"146",84090046,NA,NA,90046
"147",84090047,NA,NA,90047
"148",84090048,NA,NA,90048
"149",84090049,NA,NA,90049
"150",84090050,NA,NA,90050
"151",84090051,NA,NA,90051
"152",84090053,NA,NA,90053
