date,case,death,case_cum,death_cum
2020-01-22,1,0,1,0
2020-01-23,1,0,1,0
2020-01-24,2,0,2,0
2020-01-25,2,0,2,0
2020-01-26,5,0,5,0
2020-01-27,5,0,5,0
2020-01-28,5,0,5,0
2020-01-29,5,0,5,0
2020-01-30,5,0,5,0
2020-01-31,7,0,7,0
2020-02-01,8,0,8,0
2020-02-02,8,0,8,0
2020-02-03,11,0,11,0
2020-02-04,11,0,11,0
2020-02-05,11,0,11,0
2020-02-06,11,0,11,0
2020-02-07,11,0,11,0
2020-02-08,11,0,11,0
2020-02-09,11,0,11,0
2020-02-10,11,0,11,0
2020-02-11,12,0,12,0
2020-02-12,12,0,12,0
2020-02-13,13,0,13,0
2020-02-14,13,0,13,0
2020-02-15,13,0,13,0
2020-02-16,13,0,13,0
2020-02-17,13,0,13,0
2020-02-18,13,0,13,0
2020-02-19,13,0,13,0
2020-02-20,13,0,13,0
2020-02-21,15,0,15,0
2020-02-22,15,0,15,0
2020-02-23,15,0,15,0
2020-02-24,15,0,15,0
2020-02-25,15,0,15,0
2020-02-26,15,0,15,0
2020-02-27,16,0,16,0
2020-02-28,16,0,16,0
2020-02-29,24,1,24,1
2020-03-01,30,1,30,1
2020-03-02,53,6,53,6
2020-03-03,73,7,73,7
2020-03-04,104,11,104,11
2020-03-05,172,12,172,12
2020-03-06,217,14,217,14
2020-03-07,336,17,336,17
2020-03-08,450,21,450,21
2020-03-09,514,22,514,22
2020-03-10,703,28,703,28
2020-03-11,1105,32,1105,32
2020-03-12,1521,41,1521,41
2020-03-13,2035,50,2035,50
2020-03-14,2751,56,2751,56
2020-03-15,2918,70,2918,70
2020-03-16,4278,98,4278,98
2020-03-17,6018,132,6018,132
2020-03-18,8793,189,8793,189
2020-03-19,13433,250,13433,250
2020-03-20,18188,345,18188,345
2020-03-21,25002,444,25002,444
2020-03-22,32764,535,32764,535
2020-03-23,42313,711,42313,711
2020-03-24,52348,902,52348,902
2020-03-25,63932,1195,63932,1195
2020-03-26,80438,1558,80438,1558
2020-03-27,98033,2011,98033,2011
2020-03-28,117138,2640,117138,2640
2020-03-29,135587,3245,135587,3245
2020-03-30,155199,3866,155199,3866
2020-03-31,181971,4712,181971,4712
2020-04-01,205435,6034,205435,6034
2020-04-02,235466,7451,235466,7451
2020-04-03,267026,8791,267026,8791
2020-04-04,301463,10237,301463,10237
2020-04-05,329404,11723,329404,11723
2020-04-06,358682,13373,358682,13373
2020-04-07,390430,15799,390430,15799
2020-04-08,422144,17857,422144,17857
2020-04-09,456387,19851,456387,19851
2020-04-10,490165,21803,490165,21803
2020-04-11,519414,23989,519414,23989
2020-04-12,547956,25737,547956,25737
2020-04-13,573039,27484,573039,27484
2020-04-14,599165,29801,599165,29801
2020-04-15,629083,32362,629083,32362
2020-04-16,660346,34453,660346,34453
2020-04-17,692314,36429,692314,36429
2020-04-18,720266,38267,720266,38267
2020-04-19,746957,40081,746957,40081
2020-04-20,772295,42035,772295,42035
2020-04-21,796584,44217,796584,44217
2020-04-22,826684,46685,826684,46685
2020-04-23,860776,48759,860776,48759
2020-04-24,897197,50300,897197,50300
2020-04-25,929480,53114,929480,53114
2020-04-26,956685,54074,956685,54074
2020-04-27,979021,55599,979021,55599
2020-04-28,1003649,57712,1003649,57712
2020-04-29,1031085,60325,1031085,60325
2020-04-30,1060841,62277,1060841,62277
2020-05-01,1094309,64281,1094309,64281
2020-05-02,1122773,65718,1122773,65718
2020-05-03,1147619,66979,1147619,66979
2020-05-04,1170098,68138,1170098,68138
2020-05-05,1194039,70282,1194039,70282
2020-05-06,1219216,72546,1219216,72546
2020-05-07,1246370,74705,1246370,74705
2020-05-08,1272980,76198,1272980,76198
2020-05-09,1298528,77765,1298528,77765
2020-05-10,1317481,78498,1317481,78498
2020-05-11,1337548,79621,1337548,79621
2020-05-12,1358674,81274,1358674,81274
2020-05-13,1379612,83003,1379612,83003
2020-05-14,1406434,84818,1406434,84818
2020-05-15,1431129,86431,1431129,86431
2020-05-16,1455335,87613,1455335,87613
2020-05-17,1473736,88419,1473736,88419
2020-05-18,1494073,89127,1494073,89127
