UID,date,count,lat,lon,cumsum,gf
84001017,2020-01-22,0,32.91360079,-85.39072749,0, 0.000
84001073,2020-01-22,0,33.55554728,-86.89506300000001,0, 0.000
84001081,2020-01-22,0,32.60154883,-85.35132246,0, 0.000
84001089,2020-01-22,0,34.76327133,-86.55069633,0, 0.000
84001097,2020-01-22,0,30.78472347,-88.20842409,0, 0.000
84001101,2020-01-22,0,32.2206831,-86.20969272,0, 0.000
84001117,2020-01-22,0,33.26879845,-86.66232561,0, 0.000
84001125,2020-01-22,0,33.28726072,-87.52556818,0, 0.000
84001127,2020-01-22,0,33.80270512,-87.30027177,0, 0.000
84002020,2020-01-22,0,61.14998174,-149.14269860000002,0, 0.000
84002090,2020-01-22,0,64.80726247,-146.5692662,0, 0.000
84004001,2020-01-22,0,35.39465006,-109.4892383,0, 0.000
84004005,2020-01-22,0,35.83883429,-111.77071780000001,0, 0.000
84004013,2020-01-22,0,33.34835867,-112.49181540000001,0, 0.000
84004017,2020-01-22,0,35.3997715,-110.3218983,0, 0.000
84004019,2020-01-22,0,32.0971334,-111.7890033,0, 0.000
84004021,2020-01-22,0,32.90525627,-111.3449483,0, 0.000
84005023,2020-01-22,0,35.53864922,-92.02640019,0, 0.000
84005035,2020-01-22,0,35.21247318,-90.30839406,0, 0.000
84005051,2020-01-22,0,34.57692074,-93.14921604,0, 0.000
84005069,2020-01-22,0,34.26767081,-91.92619839,0, 0.000
84005119,2020-01-22,0,34.77054088,-92.31355101,0, 0.000
84006001,2020-01-22,0,37.64629437,-121.8929271,0, 0.000
84006013,2020-01-22,0,37.91923498,-121.9289527,0, 0.000
84006019,2020-01-22,0,36.75733899,-119.6466953,0, 0.000
84006025,2020-01-22,0,33.0393082,-115.36690420000001,0, 0.000
84006029,2020-01-22,0,35.34329425,-118.72777959999999,0, 0.000
84006037,2020-01-22,0,34.30828379,-118.22824109999999,0, 0.000
84006041,2020-01-22,0,38.07122463,-122.72106310000001,0, 0.000
84006053,2020-01-22,0,36.21862405,-121.24133970000001,0, 0.000
84006059,2020-01-22,0,33.70147516,-117.76459979999998,0, 0.000
84006061,2020-01-22,0,39.06167234,-120.72405690000001,0, 0.000
84006065,2020-01-22,0,33.74314981,-115.9933578,0, 0.000
84006067,2020-01-22,0,38.45106826,-121.34253740000001,0, 0.000
84006071,2020-01-22,0,34.84060306,-116.1774685,0, 0.000
84006073,2020-01-22,0,33.03484597,-116.73653259999999,0, 0.000
84006075,2020-01-22,0,37.75215114,-122.43856720000001,0, 0.000
84006077,2020-01-22,0,37.93433732,-121.2730061,0, 0.000
84006079,2020-01-22,0,35.38822029,-120.4039028,0, 0.000
84006081,2020-01-22,0,37.422880799999994,-122.32755459999998,0, 0.000
84006083,2020-01-22,0,34.65329488,-120.0188492,0, 0.000
84006085,2020-01-22,0,37.23104908,-121.6970462,0, 0.000
84006087,2020-01-22,0,37.05580291,-122.0066524,0, 0.000
84006095,2020-01-22,0,38.26827353,-121.9357113,0, 0.000
