UID,lat,lon,FIPS
84088888,NA,NA,88888
84099999,NA,NA,99999
84000001,32.3182,-86.9023,1
84000002,61.3707,-152.4044,2
84000004,33.7298,-111.4312,4
84000005,34.9697,-92.3731,5
84000006,36.1162,-119.6816,6
84000008,39.0598,-105.3111,8
84000009,41.5978,-72.7554,9
84000010,39.3185,-75.5071,10
84000011,38.8974,-77.0268,11
84000012,27.7663,-81.6868,12
84000013,33.0406,-83.6431,13
84000015,21.0943,-157.4983,15
84000016,44.2405,-114.4788,16
84000017,40.3495,-88.9861,17
84000018,39.8494,-86.2583,18
84000019,42.0115,-93.2105,19
84000020,38.5266,-96.7265,20
84000021,37.6681,-84.6701,21
84000022,31.1695,-91.8678,22
84000023,44.6939,-69.3819,23
84000024,39.0639,-76.8021,24
84000025,42.2302,-71.5301,25
84000026,43.3266,-84.5361,26
84000027,45.6945,-93.9002,27
84000028,32.7416,-89.6787,28
84000029,38.4561,-92.2884,29
84000030,46.9219,-110.4544,30
84000031,41.1254,-98.2681,31
84000032,38.3135,-117.0554,32
84000033,43.4525,-71.5639,33
84000034,40.2989,-74.521,34
84000035,34.8405,-106.2485,35
84000036,42.1657,-74.9481,36
84000037,35.6301,-79.8064,37
84000038,47.5289,-99.784,38
84000039,40.3888,-82.7649,39
84000040,35.5653,-96.9289,40
84000041,44.572,-122.0709,41
84000042,40.5908,-77.2098,42
84000044,41.6809,-71.5118,44
84000045,33.8569,-80.945,45
84000046,44.2998,-99.4388,46
84000047,35.7478,-86.6923,47
84000048,31.0545,-97.5635,48
84000049,40.15,-111.8624,49
84000050,44.0459,-72.7107,50
84000051,37.7693,-78.17,51
84000053,47.4009,-121.4905,53
84000054,38.4912,-80.9545,54
84000055,44.2685,-89.6165,55
84000056,42.756,-107.3025,56
84080001,NA,NA,80001
84080002,NA,NA,80002
84080004,NA,NA,80004
84080005,NA,NA,80005
84080006,NA,NA,80006
84080008,NA,NA,80008
84080009,NA,NA,80009
84080010,NA,NA,80010
84080011,NA,NA,80011
84080012,NA,NA,80012
84080013,NA,NA,80013
84080015,NA,NA,80015
84080016,NA,NA,80016
84080017,NA,NA,80017
84080018,NA,NA,80018
84080019,NA,NA,80019
84080020,NA,NA,80020
84080021,NA,NA,80021
84080022,NA,NA,80022
84080023,NA,NA,80023
